epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.427,0.7155,0.55703,0.86012,1,0.99668,0.995,0.83035,0.58934,0.53079,0.79615,0.0005941,0.0005941,0.0005941
43,229.931,0.69812,0.5591,0.81899,1,0.99959,0.995,0.84405,0.60146,0.50327,0.79763,0.0005842,0.0005842,0.0005842
44,235.16,0.75122,0.55261,0.85652,0.98905,1,0.99489,0.81846,0.68684,0.53106,0.80379,0.0005743,0.0005743,0.0005743
45,240.633,0.70502,0.53143,0.81664,0.98939,0.97849,0.99479,0.85466,0.59568,0.52209,0.7951,0.0005644,0.0005644,0.0005644
46,247.781,0.72624,0.57332,0.84923,0.98486,0.97849,0.99427,0.86589,0.58975,0.51416,0.79752,0.0005545,0.0005545,0.0005545
47,255.029,0.72953,0.56824,0.86902,0.96695,1,0.99425,0.83518,0.6561,0.52882,0.80475,0.0005446,0.0005446,0.0005446
48,261.808,0.75668,0.55353,0.85146,0.9788,0.99313,0.99457,0.84153,0.61063,0.51583,0.79873,0.0005347,0.0005347,0.0005347
49,268.458,0.69767,0.53418,0.84996,0.98927,0.99136,0.99489,0.84716,0.59676,0.51654,0.79766,0.0005248,0.0005248,0.0005248
50,273.306,0.74065,0.58502,0.86086,1,0.99825,0.995,0.8491,0.61568,0.51902,0.79456,0.0005149,0.0005149,0.0005149
51,278.732,0.74258,0.56081,0.86844,0.99818,0.98925,0.99489,0.84329,0.64196,0.5145,0.79497,0.000505,0.000505,0.000505
52,284.677,0.85641,0.61325,0.90915,0.98677,1,0.99489,0.86927,0.55138,0.48952,0.78861,0.0004951,0.0004951,0.0004951
53,290.066,0.73277,0.52511,0.86965,0.98909,1,0.99489,0.87442,0.52272,0.46306,0.78883,0.0004852,0.0004852,0.0004852
54,295.346,0.65372,0.50898,0.81626,1,0.98812,0.99489,0.86738,0.54701,0.45914,0.79137,0.0004753,0.0004753,0.0004753
55,300.739,0.61964,0.52921,0.83675,1,0.99728,0.995,0.885,0.51073,0.4611,0.79024,0.0004654,0.0004654,0.0004654
56,306.058,0.62776,0.49104,0.83617,1,0.99709,0.995,0.8833,0.49264,0.44356,0.78564,0.0004555,0.0004555,0.0004555
57,312.276,0.58253,0.48284,0.83083,1,0.99828,0.995,0.88115,0.49633,0.43577,0.78624,0.0004456,0.0004456,0.0004456
58,318.176,0.66089,0.48834,0.82881,1,0.99869,0.995,0.89473,0.47693,0.41838,0.78636,0.0004357,0.0004357,0.0004357
59,324.211,0.58213,0.45778,0.82625,0.98933,0.99737,0.99489,0.88729,0.48882,0.4274,0.78506,0.0004258,0.0004258,0.0004258
60,331.041,0.66118,0.50647,0.83706,0.98934,0.99834,0.99489,0.8774,0.51222,0.43503,0.78562,0.0004159,0.0004159,0.0004159
61,336.898,0.61776,0.48965,0.84057,0.99628,1,0.995,0.87193,0.52054,0.41929,0.7901,0.000406,0.000406,0.000406
62,342.475,0.61887,0.46476,0.83903,0.99758,1,0.995,0.88474,0.48802,0.41834,0.78743,0.0003961,0.0003961,0.0003961
63,348.03,0.58748,0.46103,0.83173,0.99745,1,0.995,0.88545,0.48295,0.43009,0.78737,0.0003862,0.0003862,0.0003862
64,352.64,0.59015,0.44613,0.82013,0.99773,1,0.995,0.86907,0.52401,0.42994,0.79537,0.0003763,0.0003763,0.0003763
65,359.875,0.57064,0.45526,0.82688,0.99713,1,0.995,0.87767,0.51298,0.43082,0.79363,0.0003664,0.0003664,0.0003664
66,366.551,0.64247,0.45575,0.82376,0.99846,1,0.995,0.89323,0.46278,0.42953,0.78611,0.0003565,0.0003565,0.0003565
67,372.528,0.56325,0.43458,0.82345,0.99826,1,0.995,0.90498,0.43056,0.40962,0.78206,0.0003466,0.0003466,0.0003466
68,376.969,0.63168,0.47249,0.85793,0.9987,1,0.995,0.89094,0.47112,0.41019,0.78409,0.0003367,0.0003367,0.0003367
69,382.15,0.73067,0.54949,0.84277,0.99931,1,0.995,0.88536,0.47143,0.39596,0.78434,0.0003268,0.0003268,0.0003268
70,387.536,0.58596,0.45795,0.83667,0.99962,1,0.995,0.89694,0.44454,0.38964,0.78347,0.0003169,0.0003169,0.0003169
71,393.326,0.61367,0.46563,0.82923,0.99904,1,0.995,0.89402,0.44237,0.40372,0.78244,0.000307,0.000307,0.000307
72,398.978,0.59366,0.48308,0.84179,0.99938,1,0.995,0.90659,0.43135,0.39515,0.78302,0.0002971,0.0002971,0.0002971
73,402.913,0.60048,0.44664,0.82785,1,0.99917,0.995,0.90397,0.43768,0.38777,0.7866,0.0002872,0.0002872,0.0002872
74,407.005,0.57602,0.4528,0.82295,1,0.99941,0.995,0.90634,0.42125,0.38795,0.78502,0.0002773,0.0002773,0.0002773
75,412.238,0.55239,0.44584,0.81579,1,0.99952,0.995,0.91445,0.40071,0.38039,0.78089,0.0002674,0.0002674,0.0002674
76,417.554,0.52529,0.41943,0.81847,0.9999,1,0.995,0.91141,0.40075,0.37413,0.77832,0.0002575,0.0002575,0.0002575
77,422.964,0.59714,0.44997,0.8286,0.99938,1,0.995,0.90337,0.4409,0.38084,0.7802,0.0002476,0.0002476,0.0002476
78,428.504,0.57964,0.43372,0.81452,0.9992,1,0.995,0.90741,0.43112,0.38108,0.77877,0.0002377,0.0002377,0.0002377
79,433.367,0.62814,0.44009,0.83749,0.99924,1,0.995,0.91513,0.4122,0.36517,0.77686,0.0002278,0.0002278,0.0002278
80,438.656,0.52492,0.42326,0.8297,0.99943,1,0.995,0.92227,0.38739,0.35243,0.77565,0.0002179,0.0002179,0.0002179
81,443.602,0.50649,0.42089,0.81608,0.99962,1,0.995,0.92048,0.38247,0.35398,0.77624,0.000208,0.000208,0.000208
82,449.089,0.53126,0.41567,0.82084,0.99969,1,0.995,0.91326,0.40094,0.36228,0.7767,0.0001981,0.0001981,0.0001981
83,455.281,0.51722,0.41946,0.82166,0.99964,1,0.995,0.92251,0.39988,0.35658,0.77749,0.0001882,0.0001882,0.0001882
84,460.073,0.52784,0.41684,0.8404,0.99956,1,0.995,0.9204,0.39293,0.34734,0.77755,0.0001783,0.0001783,0.0001783
85,465.239,0.54171,0.40256,0.84204,0.99954,1,0.995,0.94116,0.37373,0.33956,0.77709,0.0001684,0.0001684,0.0001684
86,471.673,0.52605,0.40473,0.83176,0.99958,1,0.995,0.93602,0.36355,0.34206,0.77796,0.0001585,0.0001585,0.0001585
87,479.358,0.49252,0.38374,0.82539,0.99943,1,0.995,0.93757,0.36346,0.34501,0.77607,0.0001486,0.0001486,0.0001486
88,485.74,0.49935,0.4025,0.81989,0.99925,1,0.995,0.94832,0.35774,0.33392,0.7746,0.0001387,0.0001387,0.0001387
89,490.802,0.519,0.40775,0.8146,0.99911,1,0.995,0.94713,0.35515,0.33176,0.77372,0.0001288,0.0001288,0.0001288
90,496.45,0.49655,0.39347,0.82721,0.99915,1,0.995,0.9446,0.35222,0.32734,0.7739,0.0001189,0.0001189,0.0001189
91,504.428,0.44946,0.37981,0.78815,0.99917,1,0.995,0.94787,0.35898,0.32707,0.77354,0.000109,0.000109,0.000109
92,511.141,0.46156,0.37503,0.80998,0.99918,1,0.995,0.94114,0.37038,0.33342,0.77333,9.91e-05,9.91e-05,9.91e-05
93,516.839,0.45757,0.35585,0.77885,0.99918,1,0.995,0.9295,0.37463,0.3348,0.77329,8.92e-05,8.92e-05,8.92e-05
94,523.032,0.47501,0.37684,0.79243,0.99917,1,0.995,0.9344,0.36964,0.33759,0.77229,7.93e-05,7.93e-05,7.93e-05
95,528.525,0.41802,0.35648,0.79674,0.99917,1,0.995,0.93838,0.35672,0.33392,0.77108,6.94e-05,6.94e-05,6.94e-05
96,533.931,0.4267,0.39016,0.802,0.99917,1,0.995,0.93926,0.35363,0.3296,0.77083,5.95e-05,5.95e-05,5.95e-05
97,540.489,0.413,0.36042,0.77374,0.99916,1,0.995,0.93691,0.35102,0.32703,0.77051,4.96e-05,4.96e-05,4.96e-05
98,546.849,0.41922,0.33887,0.81301,0.99919,1,0.995,0.93728,0.34571,0.32003,0.77042,3.97e-05,3.97e-05,3.97e-05
