epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42219,1.6359,4.13185,1.28761,0.00288,0.94624,0.00556,0.00197,1.9389,4.2427,1.13585,0.09703,3e-05,3e-05
2,19.6921,1.16041,2.79057,0.96416,0.00258,0.84946,0.24151,0.09507,2.13903,4.10125,1.21896,0.0930693,6.9307e-05,6.9307e-05
3,24.0821,1.18608,1.87985,0.95224,0.75,0.03226,0.39084,0.11951,2.71385,4.26723,1.39365,0.0891078,0.000107822,0.000107822
4,28.543,1.07218,1.67147,0.93365,0,0,0,0,2.84385,4.41682,1.5713,0.0851455,0.000145545,0.000145545
5,32.9356,1.14331,1.31917,0.90069,0,0,0,0,2.54451,4.60016,1.70453,0.0811825,0.000182476,0.000182476
6,37.329,1.0202,1.13573,0.89154,0,0,0,0,2.0675,4.71685,1.52879,0.0772186,0.000218615,0.000218615
7,41.6618,1.13332,1.10739,0.91817,0,0,0,0,2.10255,4.84836,1.48543,0.073254,0.000253962,0.000253962
8,45.8719,1.06017,1.09074,0.88939,0,0,0,0,1.88578,4.93076,1.35162,0.0692885,0.000288517,0.000288517
9,50.0306,1.11575,0.98195,0.91181,0,0,0,0,1.74574,4.99853,1.21273,0.0653223,0.00032228,0.00032228
10,54.6202,0.99084,0.88134,0.93342,1,0.01075,0.50537,0.35376,1.23184,4.88931,1.01673,0.0613553,0.000355251,0.000355251
11,59.1511,1.0498,0.85119,0.89742,1,0.04301,0.52149,0.29996,1.42239,4.86838,1.04431,0.0573874,0.00038743,0.00038743
12,63.4269,1.13338,0.95303,0.94093,1,0.1828,0.59139,0.51046,1.06526,4.4954,0.93735,0.0534188,0.000418817,0.000418817
13,67.6465,1.04989,0.93684,0.90824,1,0.15054,0.57527,0.4721,1.01182,4.4869,0.92795,0.0494494,0.000449412,0.000449412
14,72.1216,0.98689,0.9094,0.89689,0.96774,0.32258,0.64978,0.50855,0.98318,4.19676,0.89553,0.0454792,0.000479215,0.000479215
15,76.799,0.88371,0.80646,0.8953,0.92188,0.63441,0.78872,0.59328,0.97181,3.70984,0.86797,0.0415082,0.000508226,0.000508226
16,81.4698,0.92267,0.84087,0.90511,0.85714,0.58065,0.74518,0.5522,0.98775,3.80457,0.86167,0.0375364,0.000536445,0.000536445
17,85.7779,0.9204,0.83968,0.88025,0.96,0.51613,0.74538,0.54568,0.95059,4.00686,0.85637,0.0335639,0.000563872,0.000563872
18,90.3595,0.89282,0.79501,0.86888,0.97015,0.69892,0.84241,0.62924,0.89528,3.75508,0.83755,0.0295905,0.000590507,0.000590507
19,95.223,0.81823,0.78128,0.87418,0.93827,0.8172,0.89987,0.67422,0.91417,3.41315,0.83186,0.0256163,0.00061635,0.00061635
20,99.7356,0.85008,0.72994,0.88354,0.97368,0.7957,0.89387,0.61633,1.08068,3.44858,0.84431,0.0216414,0.000641401,0.000641401
21,104.033,0.94545,0.7594,0.86933,0.92391,0.91398,0.9442,0.73552,0.88931,2.91418,0.82039,0.0176657,0.00066566,0.00066566
22,108.452,0.8939,0.70959,0.87543,0.9,0.96774,0.96737,0.78033,0.7882,2.56558,0.80889,0.0136891,0.000689127,0.000689127
23,113.306,0.86919,0.71539,0.87063,0.81982,0.97849,0.96637,0.76716,0.79238,2.19732,0.80603,0.0097118,0.000711802,0.000711802
24,117.977,0.91947,0.72274,0.90271,0.77119,0.97849,0.96292,0.77929,0.77473,1.93083,0.80912,0.00573369,0.000733685,0.000733685
25,124.164,0.92321,0.7424,0.86736,0.95039,0.76344,0.96168,0.77019,0.76522,1.53867,0.80683,0.00175478,0.000754776,0.000754776
26,132.418,0.87628,0.75485,0.86943,0.92562,0.93664,0.9413,0.70738,0.86439,1.3138,0.81715,0.0007525,0.0007525,0.0007525
27,141.964,0.84986,0.702,0.85274,0.94848,0.94624,0.97168,0.77899,0.70527,1.16803,0.80566,0.0007426,0.0007426,0.0007426
28,150.135,0.84755,0.71257,0.86178,0.95952,0.96774,0.99152,0.78533,0.72105,1.04231,0.80629,0.0007327,0.0007327,0.0007327
29,156.704,0.83316,0.64603,0.88222,0.97073,0.96774,0.99111,0.80617,0.71969,1.0296,0.80878,0.0007228,0.0007228,0.0007228
30,162.571,0.82315,0.67417,0.86461,0.97545,0.97849,0.99096,0.78203,0.76456,1.15146,0.81831,0.0007129,0.0007129,0.0007129
31,168.346,0.78857,0.68588,0.86536,0.96674,0.93749,0.99127,0.78837,0.76829,1.22857,0.82084,0.000703,0.000703,0.000703
32,172.82,0.7893,0.61369,0.85658,0.95737,0.82796,0.96924,0.77365,0.78189,1.48765,0.81744,0.0006931,0.0006931,0.0006931
33,177.343,0.7732,0.62721,0.86647,0.98726,0.83341,0.97423,0.75813,0.8399,1.5929,0.82235,0.0006832,0.0006832,0.0006832
34,181.956,0.8359,0.6291,0.85026,0.97988,0.90323,0.98107,0.73336,0.98148,1.11254,0.8275,0.0006733,0.0006733,0.0006733
35,187.451,0.7963,0.63199,0.85058,0.96764,0.96774,0.98819,0.7219,1.00645,0.81134,0.83746,0.0006634,0.0006634,0.0006634
36,192.263,0.72149,0.61213,0.85465,0.96385,0.95699,0.99068,0.80629,0.75825,0.80948,0.82163,0.0006535,0.0006535,0.0006535
37,196.69,0.73875,0.63149,0.83107,0.95673,0.95112,0.99049,0.84489,0.65746,0.75826,0.80896,0.0006436,0.0006436,0.0006436
38,202.282,0.76544,0.64053,0.88822,1,0.92298,0.98766,0.8355,0.63881,0.70871,0.81389,0.0006337,0.0006337,0.0006337
39,207.824,0.76267,0.60613,0.86001,0.99122,0.93548,0.98124,0.79621,0.65732,0.7417,0.80978,0.0006238,0.0006238,0.0006238
40,212.998,0.69279,0.57769,0.84949,0.99861,0.95699,0.98831,0.81093,0.65362,0.64746,0.80065,0.0006139,0.0006139,0.0006139
41,218.814,0.72156,0.57219,0.86491,0.97885,0.99523,0.99458,0.82345,0.60908,0.54476,0.79505,0.000604,0.000604,0.000604
